,Sx,Sy,Sz,Rx,Ry,Rz,Ax,Ay,Az,Attenuation,30Hz,60Hz,90Hz
0,1.4,2,0.82,1.4,1,0.82,0.1,0.1,0.82,14.9464767238536,51.8831935712607,55.8008049413274,12.0762842516902
1,1.4,2,0.82,1.4,1,0.82,0.1,0.15,0.82,10.128562623545,53.4845178201977,59.3244051379485,3.14912316181215
2,1.4,2,0.82,1.4,1,0.82,0.1,0.2,0.82,7.44530515737454,49.7459732090774,47.6108733229864,0.053760055787439
3,1.4,2,0.82,1.4,1,0.82,0.1,0.25,0.82,10.238967599331,53.5841655373487,53.2924656580139,3.32075213968322
4,1.4,2,0.82,1.4,1,0.82,0.1,0.3,0.82,15.2523537827219,50.8984823143199,52.6882794454973,13.143113809282
5,1.4,2,0.82,1.4,1,0.82,0.1,0.35,0.82,16.2146088642296,51.1686343476688,44.4438388331528,23.1966295417195
6,1.4,2,0.82,1.4,1,0.82,0.1,0.4,0.82,16.4359573229877,31.2183990097407,45.6449541530015,25.5833580903788
7,1.4,2,0.82,1.4,1,0.82,0.1,0.45,0.82,14.4887251202539,13.799174274548,54.9897761360988,24.5955068236364
8,1.4,2,0.82,1.4,1,0.82,0.1,0.5,0.82,8.81516236333797,4.46317194562033,47.491564279661,15.7428301055535
9,1.4,2,0.82,1.4,1,0.82,0.1,0.55,0.82,8.37923907195791,4.68979031375045,43.8709723523236,8.11279906831921
10,1.4,2,0.82,1.4,1,0.82,0.1,0.6,0.82,9.3057547832321,14.286430881041,30.6557724808988,2.6925619644278
11,1.4,2,0.82,1.4,1,0.82,0.1,0.65,0.82,8.34950354680482,31.3672068868536,16.7666774421032,1.39281937143226
12,1.4,2,0.82,1.4,1,0.82,0.1,0.7,0.82,9.14830154394655,48.7086955679979,15.1936919348751,2.63690108759068
13,1.4,2,0.82,1.4,1,0.82,0.1,0.75,0.82,11.0608903582531,53.0964281109983,28.9761874614314,4.47738605216499
14,1.4,2,0.82,1.4,1,0.82,0.1,0.8,0.82,11.380660511418,46.7302145030944,44.1900717956228,4.93928503012502
15,1.4,2,0.82,1.4,1,0.82,0.1,0.85,0.82,10.5510963585127,55.7303747665936,56.0599078828749,3.65894045753157
16,1.4,2,0.82,1.4,1,0.82,0.1,0.9,0.82,8.95124378611508,53.8833799167056,50.8230139570525,1.68521871709388
17,1.4,2,0.82,1.4,1,0.82,0.1,0.95,0.82,7.636758566351,50.6072665276949,47.1968475559597,0.241359989506721
18,1.4,2,0.82,1.4,1,0.82,0.1,1,0.82,7.44657117398181,51.2327297130498,49.2481418197987,0.043321056313173
19,1.4,2,0.82,1.4,1,0.82,0.1,1.05,0.82,8.05472575494153,57.0853387584872,48.659428661837,0.657997479483919
20,1.4,2,0.82,1.4,1,0.82,0.1,1.1,0.82,8.49306830009185,62.9041541785066,58.0515046558254,1.20344392900949
21,1.4,2,0.82,1.4,1,0.82,0.1,1.15,0.82,8.29615526124502,49.8809503428321,60.1648602822225,0.944666480792286
22,1.4,2,0.82,1.4,1,0.82,0.1,1.2,0.82,8.22400255939449,55.6897622208116,48.3287732511016,0.884633418626706
23,1.4,2,0.82,1.4,1,0.82,0.1,1.25,0.82,7.91863759904538,58.6567604504322,45.7223029219197,0.515403820627729
24,1.4,2,0.82,1.4,1,0.82,0.1,1.3,0.82,7.99090695979341,49.3819668123956,48.5008794238075,0.587160749377
25,1.4,2,0.82,1.4,1,0.82,0.1,1.35,0.82,7.99329213743391,50.008661490427,30.694641379805,0.672528594452233
26,1.4,2,0.82,1.4,1,0.82,0.1,1.4,0.82,7.29742384434506,47.8346874742208,11.627223014942,0.780746579486623
27,1.4,2,0.82,1.4,1,0.82,0.1,1.45,0.82,4.32449921679192,51.6355735475847,3.76117463288549,0.606499101594467
28,1.4,2,0.82,1.4,1,0.82,0.1,1.5,0.82,7.06543859821503,45.0223556722004,9.95098599980674,1.04563923198343
29,1.4,2,0.82,1.4,1,0.82,0.1,1.55,0.82,9.74393681557525,26.2574596162157,24.8783073296617,2.79005977961306
30,1.4,2,0.82,1.4,1,0.82,0.1,1.6,0.82,12.4344440084947,15.6817043088189,47.6981754866423,7.46147309270774
31,1.4,2,0.82,1.4,1,0.82,0.1,1.65,0.82,12.2934749065321,9.78239170011677,50.1132840098251,13.5295221044379
32,1.4,2,0.82,1.4,1,0.82,0.1,1.7,0.82,13.3098037698973,11.3731339088238,49.4995551256375,16.5221237387564
33,1.4,2,0.82,1.4,1,0.82,0.1,1.75,0.82,15.5593731844926,21.4982159186106,46.0660718978809,16.4532691170298
34,1.4,2,0.82,1.4,1,0.82,0.1,1.8,0.82,15.1059942813065,41.8796938525146,47.9602140649514,12.8213754937427
35,1.4,2,0.82,1.4,1,0.82,0.1,1.85,0.82,12.0454822603041,45.8578575319193,51.8758149640956,5.7511346745729
36,1.4,2,0.82,1.4,1,0.82,0.1,1.9,0.82,8.34617048895882,49.0077445869258,47.251104871905,0.978816946710241
37,1.4,2,0.82,1.4,1,0.82,0.1,1.95,0.82,8.24218797925625,51.3793474883773,46.9870737519962,0.875947256408121
38,1.4,2,0.82,1.4,1,0.82,0.1,2,0.82,12.3316018206131,50.6040556840664,55.780286156981,6.21585628445354
39,1.4,2,0.82,1.4,1,0.82,0.1,2.05,0.82,15.6728360169225,44.5170050186296,46.3824973254231,15.434789623164
40,1.4,2,0.82,1.4,1,0.82,0.1,2.1,0.82,16.254025225006,54.5466375159192,56.0962067317542,21.1927433100219
41,1.4,2,0.82,1.4,1,0.82,0.15,0.1,0.82,14.8538096015464,47.9929114216041,55.4461003147527,11.6435822719531
42,1.4,2,0.82,1.4,1,0.82,0.15,0.15,0.82,11.0385053344078,48.1615493948342,45.6122510961617,4.40912915630776
43,1.4,2,0.82,1.4,1,0.82,0.15,0.2,0.82,7.60116616225286,54.5186041627849,52.1079181645239,0.154570571142296
44,1.4,2,0.82,1.4,1,0.82,0.15,0.25,0.82,8.66554833928978,51.328877220583,53.8376230468839,1.45093739190819
45,1.4,2,0.82,1.4,1,0.82,0.15,0.3,0.82,12.8871311248068,46.248036484266,45.0850675764763,7.17139104308587
46,1.4,2,0.82,1.4,1,0.82,0.15,0.35,0.82,15.2373856779955,47.5207230460973,51.3347329726012,13.3101743062946
47,1.4,2,0.82,1.4,1,0.82,0.15,0.4,0.82,15.5707638905421,30.1325377122423,56.3171573383157,14.9571003629514
48,1.4,2,0.82,1.4,1,0.82,0.15,0.45,0.82,13.318245766699,12.163029885443,50.6246561505407,13.273577795088
49,1.4,2,0.82,1.4,1,0.82,0.15,0.5,0.82,7.49547604216986,3.58282916748114,55.8539384974509,7.81966254653393
50,1.4,2,0.82,1.4,1,0.82,0.15,0.55,0.82,7.15145420208844,4.91717812294897,41.2764493456334,3.15922237892455
51,1.4,2,0.82,1.4,1,0.82,0.15,0.6,0.82,7.5221810110977,14.4557964957917,18.2931794172585,0.613000106816854
52,1.4,2,0.82,1.4,1,0.82,0.15,0.65,0.82,7.07222813895646,33.7907219460992,9.57887200572256,1.13503080443516
53,1.4,2,0.82,1.4,1,0.82,0.15,0.7,0.82,7.98393629590963,48.8294285842493,9.45623178152725,2.75119575205931
54,1.4,2,0.82,1.4,1,0.82,0.15,0.75,0.82,11.2252699415425,45.7029356708911,25.0810796480952,4.65090156248359
55,1.4,2,0.82,1.4,1,0.82,0.15,0.8,0.82,11.0792099226238,52.3742155004829,55.4071862477409,4.48220182395199
56,1.4,2,0.82,1.4,1,0.82,0.15,0.85,0.82,9.80338805371168,59.0101434927903,48.3796832589354,2.75204859901827
57,1.4,2,0.82,1.4,1,0.82,0.15,0.9,0.82,8.2748345751328,47.4167424139797,46.3356243388346,0.921493925235545
58,1.4,2,0.82,1.4,1,0.82,0.15,0.95,0.82,7.5292633862375,46.9671074665121,47.7828950126604,0.144529142266006
59,1.4,2,0.82,1.4,1,0.82,0.15,1,0.82,7.77393929063206,49.5485543551774,48.507342728828,0.379170799472705
60,1.4,2,0.82,1.4,1,0.82,0.15,1.05,0.82,8.59706059045361,50.9109827321631,48.3769321628439,1.32189208732426
61,1.4,2,0.82,1.4,1,0.82,0.15,1.1,0.82,8.8882298523205,55.3973543471607,48.6429994384639,1.67515004804259
62,1.4,2,0.82,1.4,1,0.82,0.15,1.15,0.82,8.52283041964255,48.3293583673439,45.311606171027,1.29118769188323
63,1.4,2,0.82,1.4,1,0.82,0.15,1.2,0.82,8.12254206086527,55.7030690335475,55.2550233304988,0.749620255949818
64,1.4,2,0.82,1.4,1,0.82,0.15,1.25,0.82,7.58753637687097,53.5054047382613,49.7491883224143,0.139686180094559
